,blockfacename,location,paidparkingarea,paidparkingsubarea,parkingcategory,parkingspacecount,parkingtimelimitcategory,sideofstreet,sourceelementkey,latitude,longitude
90,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,"{'type': 'Point', 'coordinates': [-122.32645202, 47.59961395]}",Chinatown/ID,Edge,Paid Parking,8,120.0,W,8097,47.59961395,-122.32645202
91,6TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,"{'type': 'Point', 'coordinates': [-122.32626558, 47.59961086]}",Chinatown/ID,Edge,Paid Parking,5,120.0,E,8098,47.59961086,-122.32626558
92,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,"{'type': 'Point', 'coordinates': [-122.32645712, 47.59628699]}",Chinatown/ID,Edge,Paid Parking,4,120.0,W,8101,47.59628699,-122.32645712
93,6TH AVE S BETWEEN S LANE ST AND S DEARBORN ST,"{'type': 'Point', 'coordinates': [-122.32628696, 47.59627028]}",Chinatown/ID,Edge,Paid Parking,8,120.0,E,8102,47.59627028,-122.32628696
94,7TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,"{'type': 'Point', 'coordinates': [-122.32786582, 47.60573702]}",First Hill,,Paid Parking,5,120.0,NE,8242,47.60573702,-122.32786582
95,7TH AVE BETWEEN STEWART ST AND VIRGINIA ST,"{'type': 'Point', 'coordinates': [-122.33687047, 47.6146276]}",Denny Triangle,South,Paid Parking,2,120.0,SW,8249,47.6146276,-122.33687047
96,7TH AVE S BETWEEN S KING ST AND S WELLER ST,"{'type': 'Point', 'coordinates': [-122.32386073, 47.59790731]}",Chinatown/ID,Core,Paid Parking,5,120.0,W,8301,47.59790731,-122.32386073
97,7TH AVE S BETWEEN S KING ST AND S WELLER ST,"{'type': 'Point', 'coordinates': [-122.32365809, 47.59790424]}",Chinatown/ID,Core,Paid Parking,6,120.0,E,8302,47.59790424,-122.32365809
98,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,"{'type': 'Point', 'coordinates': [-122.32388013, 47.5970904]}",Chinatown/ID,Core,Paid Parking,7,120.0,W,8305,47.5970904,-122.32388013
99,7TH AVE S BETWEEN S WELLER ST AND S LANE ST,"{'type': 'Point', 'coordinates': [-122.32363696, 47.59708721]}",Chinatown/ID,Core,Paid Parking,8,120.0,E,8306,47.59708721,-122.32363696
100,8TH AVE BETWEEN JAMES ST AND CHERRY ST,"{'type': 'Point', 'coordinates': [-122.32627615, 47.60543069]}",First Hill,,Paid Parking,3,120.0,SW,8369,47.60543069,-122.32627615
101,8TH AVE BETWEEN JAMES ST AND CHERRY ST,"{'type': 'Point', 'coordinates': [-122.32612102, 47.60549559]}",First Hill,,Restricted Parking Zone,8,120.0,NE,8370,47.60549559,-122.32612102
102,8TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,"{'type': 'Point', 'coordinates': [-122.32690423, 47.60613272]}",First Hill,,Restricted Parking Zone,8,120.0,SW,8373,47.60613272,-122.32690423
103,8TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,"{'type': 'Point', 'coordinates': [-122.3267698, 47.60618899]}",First Hill,,Paid Parking,7,120.0,NE,8374,47.60618899,-122.3267698
104,8TH AVE BETWEEN COLUMBIA ST AND MARION ST,"{'type': 'Point', 'coordinates': [-122.32755118, 47.60684502]}",First Hill,,Restricted Parking Zone,10,120.0,SW,8377,47.60684502,-122.32755118
105,8TH AVE BETWEEN COLUMBIA ST AND MARION ST,"{'type': 'Point', 'coordinates': [-122.32742018, 47.60689983]}",First Hill,,Restricted Parking Zone,6,120.0,NE,8378,47.60689983,-122.32742018
106,8TH AVE BETWEEN MARION ST AND MADISON ST,"{'type': 'Point', 'coordinates': [-122.32806872, 47.60759861]}",First Hill,,Paid Parking,4,120.0,NE,8382,47.60759861,-122.32806872
107,8TH AVE BETWEEN OLIVE WAY AND STEWART ST,"{'type': 'Point', 'coordinates': [-122.33478081, 47.61448278]}",Denny Triangle,South,Paid Parking,8,120.0,SW,8389,47.61448278,-122.33478081
108,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,"{'type': 'Point', 'coordinates': [-122.33976022, 47.61770236]}",Denny Triangle,North,Paid Parking,3,240.0,NE,8394,47.61770236,-122.33976022
109,8TH AVE BETWEEN BELL ST AND DENNY WAY,"{'type': 'Point', 'coordinates': [-122.34102708, 47.61824767]}",Denny Triangle,North,Paid Parking,8,240.0,SW,8397,47.61824767,-122.34102708
110,8TH AVE BETWEEN BELL ST AND DENNY WAY,"{'type': 'Point', 'coordinates': [-122.34078339, 47.61830749]}",Denny Triangle,North,Paid Parking,5,240.0,NE,8398,47.61830749,-122.34078339
111,8TH AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,"{'type': 'Point', 'coordinates': [-122.34116298, 47.6239067]}",South Lake Union,South,Paid Parking,11,600.0,W,8401,47.6239067,-122.34116298
112,8TH AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,"{'type': 'Point', 'coordinates': [-122.34093993, 47.62390853]}",South Lake Union,South,Paid Parking,11,600.0,E,8402,47.62390853,-122.34093993
113,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,"{'type': 'Point', 'coordinates': [-122.34114567, 47.6266943]}",South Lake Union,North,Paid Parking,7,600.0,W,8405,47.6266943,-122.34114567
114,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,"{'type': 'Point', 'coordinates': [-122.34090264, 47.62666319]}",South Lake Union,North,Paid Parking,10,600.0,E,8406,47.62666319,-122.34090264
115,8TH AVE S BETWEEN S KING ST AND S WELLER ST,"{'type': 'Point', 'coordinates': [-122.32254732, 47.59792287]}",Chinatown/ID,Edge,Paid Parking,3,120.0,W,8541,47.59792287,-122.32254732
116,8TH AVE S BETWEEN S KING ST AND S WELLER ST,"{'type': 'Point', 'coordinates': [-122.32235274, 47.59792935]}",Chinatown/ID,Edge,Paid Parking,5,120.0,E,8542,47.59792935,-122.32235274
117,9TH AVE BETWEEN JEFFERSON ST AND JAMES ST,"{'type': 'Point', 'coordinates': [-122.32449968, 47.60515148]}",First Hill,,Paid Parking,2,120.0,SW,8601,47.60515148,-122.32449968
118,9TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,"{'type': 'Point', 'coordinates': [-122.32579968, 47.60658808]}",First Hill,,Restricted Parking Zone,4,120.0,SW,8609,47.60658808,-122.32579968
119,9TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,"{'type': 'Point', 'coordinates': [-122.32565947, 47.60666928]}",First Hill,,Restricted Parking Zone,7,120.0,NE,8610,47.60666928,-122.32565947
120,9TH AVE BETWEEN HOWELL ST AND STEWART ST,"{'type': 'Point', 'coordinates': [-122.3337482, 47.61529696]}",Denny Triangle,North,Paid Parking,11,240.0,NE,8614,47.61529696,-122.3337482
121,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,"{'type': 'Point', 'coordinates': [-122.33514821, 47.61596122]}",Denny Triangle,North,Paid Parking,4,240.0,SW,8617,47.61596122,-122.33514821
122,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,"{'type': 'Point', 'coordinates': [-122.33503151, 47.61604516]}",Denny Triangle,North,Paid Parking,2,240.0,NE,8618,47.61604516,-122.33503151
123,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY,"{'type': 'Point', 'coordinates': [-122.33879349, 47.61827352]}",Denny Triangle,North,Paid Parking,1,240.0,NE,8622,47.61827352,-122.33879349
124,9TH AVE N BETWEEN BROAD E ST AND WESTLAKE AVE N,"{'type': 'Point', 'coordinates': [-122.33958113, 47.62609289]}",South Lake Union,North,Paid Parking,6,600.0,E,8626,47.62609289,-122.33958113
125,ALASKAN WAY BETWEEN MADISON ST AND SPRING ST,"{'type': 'Point', 'coordinates': [-122.33885551, 47.60409058]}",Commercial Core,Waterfront,Paid Parking,11,240.0,SW,8829,47.60409058,-122.33885551
126,ALASKAN WAY BETWEEN MADISON ST AND SPRING ST,"{'type': 'Point', 'coordinates': [-122.3386791, 47.60416352]}",Commercial Core,Waterfront,Paid Parking,7,240.0,NE,8830,47.60416352,-122.3386791
